Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
54,6619304,1,(not listed),White,87081,Brick Round 4 x 4,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,4558956,87081 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6619304
55,447701,10,PLATE 1X10,White,4477,Plate 1 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,6552113,6550148,4477 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=447701
56,4514842,10,PLATE 1X12,White,60479,Plate 1 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,6552130,6548269,60479 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4514842
57,302301,18,PLATE 1X2,White,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,6552100,6548261,3023 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302301
58,346001,16,PLATE 1X8,White,3460,Plate 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,yes,6550141,,3460 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=346001
59,244501,8,PLATE 2X12,White,2445,Plate 2 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.35,2022,,6552091,,2445 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=244501
60,302201,1,PLATE 2X2,White,3022,Plate 2 x 2,On Pick a Brick (late-2025 listing),0.09,late 2025,,6552099,4613976 6548260,3022 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302201
61,302001,4,PLATE 2X4,White,3020,Plate 2 x 4,On Pick a Brick (late-2025 listing),0.14,late 2025,,6552098,,3020 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302001
62,4168072,9,PLATE 4X12,White,3029,Plate 4 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.7,2022,,,302901,3029 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4168072
63,4243812,5,PLATE 4X4,White,3031,Plate 4 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,,6552127,303101,3031 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4243812
64,303201,1,PLATE 4X6,White,3032,Plate 4 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.43,2022,,,,3032 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=303201
65,4528341,7,PLATE 6X10,White,3033,Plate 6 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.86,2022,,,303301,3033 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4528341
66,4144012,10,PLATE 6X6,White,3958,Plate 6 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.5,2022,,6552116,395801,3958 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4144012
67,614101,97,ROUND PLATE 1X1,White,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,6601919,,4073 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=614101
68,428601,8,ROOF TILE 1X3/25°,White,4286,Slope 33 3 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,,,4286 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=428601
69,4121932,40,ROOF TILE 1X2/45°,White,3040,Slope 45 2 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,6552115,304001,3040 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4121932
70,370001,4,"TECHNIC BRICK 1X2, Ø4.9",White,3700,Technic Brick 1 x 2 with Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,6619284,,3700 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=370001
