Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
46,4211045,16,ROOF TILE 1X3/25°,Dark Stone Grey,4286,Slope 33 3 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,,,4286 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211045
47,4211106,60,ROOF TILE 2X3/25°,Dark Stone Grey,3298,Slope 33 3 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,3298 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211106
48,4246896,6,Brick w/bow 1/3,Dark Stone Grey,50950,Slope Curved 3 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,,50950 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4246896
49,4210848,3,FLAT TILE 1X1,Dark Stone Grey,3070,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3070 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210848
50,4211052,8,FLAT TILE 1X2,Dark Stone Grey,3069,Tile 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,,,3069 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211052
51,4568734,2,FLAT TILE 1x3,Dark Stone Grey,63864,Tile 1 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,,,63864 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4568734
52,4211053,7,FLAT TILE 1X4,Dark Stone Grey,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,,,,2431 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211053
53,4210651,7,FLAT TILE 1X6,Dark Stone Grey,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,6636 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210651
54,4211008,10,FLAT TILE 1X8,Dark Stone Grey,4162,Tile 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,5210651,,4162 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211008
55,4211055,4,FLAT TILE 2X2,Dark Stone Grey,3068,Tile 2 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,,,3068 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211055
