Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
67,301001,10,BRICK 1X4,White,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,,6550135,,3010 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=301001
68,300901,60,BRICK 1X6,White,3009,Brick 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,yes,6552097,300951 6548259,3009 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300901
69,300801,40,BRICK 1X8,White,3008,Brick 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.29,2022,yes,6550134,,3008 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300801
70,306201,2,ROUND BRICK 1X1,White,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,6619283,,3062 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306201
71,302401,90,PLATE 1X1,White,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,yes,6548262,,3024 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302401
72,447701,34,PLATE 1X10,White,4477,Plate 1 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,yes,6552113,6550148,4477 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=447701
73,4514842,23,PLATE 1X12,White,60479,Plate 1 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,yes,6552130,6548269,60479 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4514842
74,302301,1,PLATE 1X2,White,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,6552100,6548261,3023 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302301
75,362301,20,PLATE 1X3,White,3623,Plate 1 x 3,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,6552105,6550144,3623 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=362301
76,371001,20,PLATE 1X4,White,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,6552108,371051 6548266,3710 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=371001
77,366601,34,PLATE 1X6,White,3666,Plate 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,6552107,6548265,3666 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=366601
78,346001,30,PLATE 1X8,White,3460,Plate 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,yes,6550141,,3460 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=346001
79,244501,1,PLATE 2X12,White,2445,Plate 2 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.35,2022,,6552091,,2445 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=244501
80,302101,38,PLATE 2X3,White,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,6550136,,3021 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=302101
81,379501,13,PLATE 2X6,White,3795,Plate 2 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026 (including sets listed for 2027),0.19,2022,yes,6550146,,3795 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=379501
82,303401,31,PLATE 2X8,White,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,yes,6552101,,3034 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=303401
83,4168072,1,PLATE 4X12,White,3029,Plate 4 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.7,2022,,,302901,3029 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4168072
84,4144012,14,PLATE 6X6,White,3958,Plate 6 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.5,2022,yes,6552116,395801,3958 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4144012
85,6034044,2,PLATE W. BOW 1X2X2/3,White,11477,Slope Curved 2 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,6552145,6548276,11477 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6034044
86,654101,4,TECHNIC BRICK 1X1,White,6541,Technic Brick 1 x 1 with Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,,6609542,,6541 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=654101
87,370001,4,"TECHNIC BRICK 1X2, Ø4.9",White,3700,Technic Brick 1 x 2 with Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,6619284,,3700 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=370001
